YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2025,1,1,20107,FX,FX,Federal Express Corporation,3,1925.00,38796759.00,38798684.00,15139438.00,24757640.00,3008516.00,42905594.00,81704278.00,881.00,1199736.00,1200617.00,70189.00,792045.00,34135.00,83330.00,979699.00,2180316.00,39999301.00,43885293.00,83884594.00,10000.00,91114000.00,91124000.00,35464000.00,56779000.00,7401000.00,99644000.00,190768000.00,2000.00,2832000.00,2834000.00,167000.00,1869000.00,81000.00,205000.00,2322000.00,5156000.00,93958000.00,101966000.00,195924000.00
2025,1,1,20108,NC,NC,Northern Air Cargo Inc.,2,244644.00,348499.00,593143.00,0.00,0.00,0.00,0.00,593143.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,593143.00,0.00,593143.00,615043.00,794964.00,1410007.00,0.00,0.00,0.00,0.00,1410007.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1410007.00,0.00,1410007.00
2025,1,1,20151,M6,M6,Amerijet International,2,0.00,290059.00,290059.00,115243.00,0.00,1869933.00,1985176.00,2275235.00,0.00,355709.00,355709.00,0.00,0.00,39573.00,0.00,39573.00,395282.00,645768.00,2024749.00,2670517.00,0.00,669891.00,669891.00,298835.00,0.00,4725243.00,5024078.00,5693969.00,0.00,892621.00,892621.00,0.00,0.00,115957.00,0.00,115957.00,1008578.00,1562512.00,5140035.00,6702547.00
2025,1,1,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59804.00,59804.00,0.00,0.00,53599.00,0.00,53599.00,113403.00,59804.00,53599.00,113403.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295963.00,295963.00,0.00,0.00,265637.00,0.00,265637.00,561600.00,295963.00,265637.00,561600.00
2025,1,1,20169,L2,L2,Lynden Air Cargo Airlines,2,140440.00,0.00,140440.00,0.00,0.00,0.00,0.00,140440.00,6154.00,29225.00,35379.00,0.00,0.00,0.00,0.00,0.00,35379.00,175819.00,0.00,175819.00,353606.00,0.00,353606.00,0.00,0.00,0.00,0.00,353606.00,16245.00,90569.00,106814.00,0.00,0.00,0.00,0.00,0.00,106814.00,460420.00,0.00,460420.00
2025,1,1,20177,PFQ,PFQ,Asia Pacific,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,623369.00,0.00,0.00,623369.00,623369.00,0.00,623369.00,623369.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1679491.00,0.00,0.00,1679491.00,1679491.00,0.00,1679491.00,1679491.00
2025,1,1,20195,WI,WI,Sky Lease Cargo,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1463262.00,434358.00,0.00,1897620.00,1897620.00,0.00,1897620.00,1897620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3870645.00,1148931.00,0.00,5019576.00,5019576.00,0.00,5019576.00,5019576.00
2025,1,1,20207,XP,XP,TEM Enterprises dba  Avelo Airlines,2,0.00,2775373.00,2775373.00,52829.00,0.00,53440.00,106269.00,2881642.00,0.00,129076.00,129076.00,7036.00,0.00,0.00,0.00,7036.00,136112.00,2904449.00,113305.00,3017754.00,0.00,7495904.00,7495904.00,142684.00,0.00,144334.00,287018.00,7782922.00,0.00,348617.00,348617.00,19003.00,0.00,0.00,0.00,19003.00,367620.00,7844521.00,306021.00,8150542.00
2025,1,1,20304,OO,OO,SkyWest Airlines Inc.,3,0.00,2608511.00,2608511.00,0.00,0.00,0.00,0.00,2608511.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2608511.00,0.00,2608511.00,0.00,7806805.00,7806805.00,0.00,0.00,0.00,0.00,7806805.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7806805.00,0.00,7806805.00
2025,1,1,20310,WL,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9603.00,9603.00,0.00,0.00,506613.00,0.00,506613.00,516216.00,9603.00,506613.00,516216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40990.00,40990.00,0.00,0.00,1179664.00,0.00,1179664.00,1220654.00,40990.00,1179664.00,1220654.00
