NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
231.23,224.10,2870.16,0.00,,0.00,0.00,,0.00,0.00,,0.00,42.33,0.00,0.00,2912.48,929.16,1180.05,131.43,117.64,2.21,297.47,0.00,30.41,0.00,2688.38,0.00,-23.61,0.00,0.00,2.29,28.55,7.24,231.34,0.11,231.23,0.00,0.00,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,11059,L,2,2,2024,3
234.01,-3689.89,0.00,0.00,0.00,0.00,0.00,7660.89,7660.89,0.00,48.69,0.00,48.69,0.00,0.00,7709.58,4242.70,1181.63,0.00,0.00,0.00,0.00,4021.04,1954.10,0.00,11399.47,3923.90,0.00,0.00,0.00,0.00,0.00,3923.90,234.01,0.00,234.01,0.00,0.00,0.00,,0.00,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",01159,D,1,1,2024,4
234.26,256.75,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,34850.87,34850.87,6591.10,0.00,0.00,0.00,0.00,3848.55,0.00,83.12,24071.35,34594.12,0.00,0.00,0.00,0.00,0.00,-22.50,-22.50,234.26,0.00,234.26,0.00,0.00,0.00,,0.00,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",01234,D,2,2,2024,4
274.07,78.42,0.00,,,3754.43,0.00,,0.00,1749.85,,0.00,149.94,0.00,0.00,5654.22,2508.40,2132.25,0.00,23.82,4.35,324.52,,394.91,187.55,5575.80,0.00,195.65,0.00,0.00,0.00,0.00,195.65,274.07,0.00,274.07,0.00,0.00,0.00,,0.00,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,11009,A,2,2,2024,1
282.75,2542.54,0.00,0.00,,0.00,0.00,,54069.53,3476.02,,0.00,0.00,0.00,0.00,57545.54,33776.30,6930.82,,,,,9630.97,1443.82,3221.09,55003.00,0.00,-2257.59,-2.88,0.00,0.00,0.68,-2259.79,282.75,0.00,282.75,0.00,0.00,0.00,,0.00,22085,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",01227,S,2,2,2024,2
318.07,1326.50,0.00,0.00,,0.00,0.00,,7600.63,2358.17,,0.00,1979.37,0.00,0.00,11938.17,4215.55,1817.48,371.50,1536.63,3.92,1031.11,0.00,1635.48,0.00,10611.67,-553.76,0.00,0.00,33.25,0.00,-487.93,-1008.44,318.07,0.00,318.07,0.00,0.00,0.00,,0.00,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Easte",11054,I,2,2,2024,1
331.03,429.03,0.00,0.00,,0.00,0.00,,0.00,5537.63,,0.00,0.00,0.00,0.00,5537.63,3384.26,347.42,0.00,0.00,0.00,0.00,1234.02,142.91,0.00,5108.60,0.00,-94.21,0.00,0.00,0.00,5.82,-88.39,340.63,9.60,331.03,0.00,0.00,0.00,,0.00,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,16565,I,1,1,2024,3
392.76,1314.93,0.00,0.00,,0.00,0.00,,3370.00,0.00,,0.00,2108.51,0.00,0.00,5478.51,2309.04,207.87,94.46,1315.02,3.43,170.21,0.00,63.55,0.00,4163.58,0.00,0.00,0.00,0.00,0.00,-922.17,-922.17,392.76,0.00,392.76,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",06076,D,1,1,2024,3
400.46,1902.43,57802.78,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,904.82,58707.60,32348.67,15343.59,2540.97,3278.24,0.00,3123.67,0.00,170.04,0.00,56805.17,-395.58,0.00,0.00,-1523.28,0.00,416.89,-1501.97,400.46,0.00,400.46,0.00,0.00,0.00,,0.00,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,07041,D,2,2,2024,2
420.56,1502.84,0.00,0.00,0.00,0.00,0.00,17307.23,17307.23,0.00,,0.00,0.00,0.00,0.00,17307.23,6565.90,2786.41,0.00,0.00,0.00,0.00,5956.58,495.50,0.00,15804.38,-1077.28,0.00,0.00,0.00,0.00,-5.00,-1082.28,420.56,0.00,420.56,0.00,0.00,0.00,,0.00,21875,37Q,"Eastern Air Express, LLC (EAX)",37Q,"Eastern Air Express, LLC (EAX)",01225,S,1,1,2024,3
512.48,512.48,0.00,0.00,,0.00,0.00,,162.56,0.00,,0.00,0.00,0.00,2716.60,2879.16,0.00,0.00,0.00,0.00,0.00,0.00,207.48,19.57,2139.64,2366.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512.48,0.00,512.48,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",11046,I,2,2,2024,2
521.52,521.52,0.00,0.00,,0.00,0.00,,137.46,0.00,,0.00,0.00,0.00,2568.08,2705.54,0.00,0.00,0.00,0.00,0.00,0.00,147.96,15.14,2020.93,2184.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,521.52,0.00,521.52,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",11046,I,2,2,2024,1
585.80,288.35,,11720.50,,1666.86,,,,1924.80,,,,,,15312.16,6889.14,3960.97,,1561.34,,1277.77,,1334.59,,15023.81,,,,,,297.45,297.45,585.80,,585.80,,,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06070,D,1,1,2024,3
628.13,628.13,0.00,0.00,,0.00,0.00,,103.27,0.00,,0.00,0.00,0.00,2419.76,2523.03,0.00,0.00,0.00,0.00,0.00,0.00,162.59,12.79,1719.52,1894.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,628.13,0.00,628.13,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",11046,I,2,2,2024,4
655.29,413.44,,11665.00,,1552.83,,,,1717.83,,,,,,14935.66,6452.39,4141.56,,1517.60,,1016.50,,1394.17,,14522.22,,,,,,241.85,241.85,655.29,,655.29,,,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06070,D,1,1,2024,1
686.76,686.76,0.00,0.00,,0.00,0.00,,124.69,0.00,,0.00,0.00,0.00,2896.40,3021.08,0.00,0.00,0.00,0.00,0.00,0.00,184.62,16.24,2133.46,2334.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,686.76,0.00,686.76,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",11046,I,2,2,2024,3
691.22,839.04,9123.83,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,58.42,9182.25,3578.36,2682.23,930.07,281.99,6.42,601.29,0.00,262.86,0.00,8343.21,-26.56,0.00,0.00,11.70,0.00,14.86,0.01,839.04,147.83,691.22,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2024,2
722.38,647.97,,4725.11,,6927.68,,,,569.16,,,,,6626.28,18848.23,5050.74,4951.23,,788.60,546.25,284.88,,5169.76,1408.81,18200.26,-156.97,239.57,,-7.65,,-0.72,74.24,722.20,-0.18,,,,,,,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,06683,D,3,3,2024,1
723.70,802.38,,,,,,,,,,,,,21245.05,21245.05,11882.42,2385.30,,,,,5260.74,914.21,,20442.67,-78.69,,0.00,,,0.00,-78.69,723.70,,723.70,,,,,,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,01207,S,1,1,2024,4
749.81,798.77,42793.77,0.00,,0.00,0.00,,12000.97,0.00,,0.00,822.86,0.00,24154.44,79772.03,42470.54,9798.89,0.00,0.00,0.00,0.00,25327.13,1225.07,151.64,78973.26,-47.29,-1.75,0.00,0.00,0.00,0.23,-48.81,749.97,0.16,749.81,0.00,0.00,0.00,,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,2,2,2024,1
756.53,900.92,10635.26,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,18.88,71.01,10725.15,4233.55,3158.04,1088.17,396.98,5.03,660.52,0.00,281.94,0.00,9824.23,-20.48,0.00,0.00,16.26,0.00,15.05,10.82,911.74,155.22,756.53,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2024,3
769.59,1008.73,,,,,,,,,,,,,18441.61,18441.61,9775.98,3198.19,,,,,3693.30,765.41,,17432.88,-231.70,,0.00,,,-7.44,-239.14,769.59,,769.59,,,,,,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,01207,S,1,1,2024,2
844.27,840.14,0.00,0.00,,0.00,0.00,,2949.11,0.00,,0.00,495.02,0.00,1313.18,4757.31,1418.03,610.14,194.89,1006.12,7.34,477.90,0.00,202.75,0.00,3917.17,0.00,0.00,0.00,0.00,0.00,4.12,4.12,844.27,0.00,844.27,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",16076,I,1,1,2024,1
971.54,945.04,0.00,,,4196.76,0.00,,0.00,4485.96,,0.00,149.75,0.00,0.00,8832.46,3383.13,3165.48,0.00,63.41,2.73,522.39,,549.04,201.24,7887.42,0.00,149.48,0.00,0.00,0.00,0.00,149.48,1094.51,122.96,971.55,0.00,0.00,0.00,,0.00,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,11009,A,2,2,2024,4
1028.48,1128.08,0.00,0.00,,0.00,0.00,,0.00,8361.23,,0.00,0.00,,0.00,8361.23,2973.17,841.09,0.00,285.96,0.04,1503.19,,1629.70,0.00,7233.15,-99.59,0.00,0.00,0.00,,0.00,-99.59,1028.48,0.00,1028.48,,,0.00,,,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06912,D,3,3,2024,4
1066.22,1389.23,12784.03,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,10.43,96.45,12890.91,4764.57,3828.22,1333.46,433.77,6.34,769.32,0.00,365.99,0.00,11501.68,-35.37,0.00,0.00,1.71,0.00,19.03,-14.63,1374.59,308.37,1066.22,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2024,4
1083.43,1321.07,,,,,,,,,,,,,15395.81,15395.81,7864.64,2278.19,,,,,3240.98,690.94,,14074.74,-233.71,,0.00,,,-3.93,-237.64,1083.43,,1083.43,,,,,,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,01207,S,1,1,2024,1
1254.76,1129.00,,12625.50,,1627.75,,,,4587.58,,,,,,18840.82,7840.49,4730.38,,2340.09,,1580.11,,1220.77,,17711.83,,,,,,325.77,325.77,1454.76,200.00,1254.76,,,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06070,D,1,1,2024,4
1520.56,2593.61,46381.39,0.00,,0.00,0.00,,4057.25,0.00,,0.00,920.42,0.00,25088.21,76447.26,38156.19,10219.18,0.00,0.00,0.00,0.00,23969.24,1379.29,129.76,73853.65,-683.82,-1.51,0.00,0.00,0.00,-382.61,-1067.95,1525.66,5.11,1520.56,0.00,0.00,0.00,,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,2,2,2024,2
1608.65,1764.43,0.00,0.00,,0.00,0.00,,0.00,13077.82,,0.00,0.00,,0.00,13077.82,4650.35,1315.55,0.00,447.27,0.07,2351.14,,2549.02,0.00,11313.39,-155.77,0.00,0.00,0.00,,0.00,-155.77,1608.65,0.00,1608.65,,,0.00,,,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,3,3,2024,4
1712.44,7141.78,0.00,0.00,,0.00,0.00,,40921.12,12696.17,,0.00,10656.77,0.00,0.00,64274.06,22696.17,9785.17,2000.09,8273.07,21.11,5551.42,0.00,8805.25,0.00,57132.29,-2981.40,0.00,0.00,179.01,0.00,-2626.95,-5429.34,1712.44,0.00,1712.44,0.00,0.00,0.00,,0.00,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Easte",01130,D,2,2,2024,1
1725.37,2047.08,0.00,0.00,,7278.44,0.00,,0.00,15870.29,,0.00,6470.83,0.00,0.00,29619.57,9053.81,6132.79,0.00,1648.98,267.04,,4944.54,4637.58,887.73,27572.48,0.00,-250.82,0.00,0.00,-70.90,0.00,-321.71,1725.37,0.00,1725.37,0.00,0.00,0.00,1725.37,0.00,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,11041,I,2,2,2024,1
1726.34,1897.78,,,,,,,,,,,,,19605.80,19605.80,9228.51,3339.57,,,,,4302.45,837.50,,17708.02,-182.05,,0.00,,,10.61,-171.44,1726.34,,1726.34,,,,,,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,01207,S,1,1,2024,3
1818.00,1024.00,160543.00,0.00,,1172.00,575.00,,54.00,0.00,,,21520.00,0.00,1196.00,185060.00,73394.00,17850.00,15688.00,35257.00,10129.00,18942.00,,11835.00,941.00,184036.00,-1681.00,224.00,66.00,0.00,,2758.00,1367.00,2391.00,573.00,1818.00,0.00,0.00,0.00,1818.00,0.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3,3,2024,3
1961.70,1720.46,116486.23,0.00,,0.00,0.00,,0.00,0.00,,0.00,92689.53,0.00,0.00,209175.76,50443.05,34989.32,6087.34,85001.45,0.00,27542.04,0.00,3392.10,0.00,207455.30,0.00,0.00,0.00,-203.33,109.26,943.47,849.41,2569.87,608.17,1961.70,0.00,0.00,0.00,,0.00,20427,PT,Piedmont Airlines,PT,Piedmont Airlines,06918,D,2,2,2024,3
1977.27,3666.50,479686.82,0.00,,0.00,0.00,,0.00,0.00,,0.00,159.99,,20.23,479867.04,168524.40,105706.72,23147.63,115626.02,559.13,59680.80,0.00,2944.65,11.19,476200.54,0.00,-0.03,-1.01,0.00,0.00,-1701.73,-1702.77,1963.74,-13.54,1977.27,0.00,0.00,0.00,,0.00,20398,MQ,Envoy Air,MQ,Envoy Air,06820,D,3,3,2024,2
2044.50,3159.19,0.00,0.00,,0.00,0.00,,0.00,60658.23,,0.00,937.43,0.00,0.00,61595.66,31962.44,3746.11,0.00,5835.94,0.00,6055.52,0.00,10836.46,0.00,58436.47,0.00,-1171.22,66.81,0.00,0.00,-4.52,-1108.92,2050.26,5.76,2044.50,0.00,0.00,0.00,,0.00,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2024,4
2067.00,2056.91,0.00,0.00,,0.00,0.00,,7220.23,0.00,,0.00,1211.95,0.00,3215.03,11647.21,3471.72,1493.79,477.15,2463.25,17.97,1170.02,0.00,496.40,0.00,9590.30,0.00,0.00,0.00,0.00,0.00,10.09,10.09,2067.00,0.00,2067.00,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",06076,D,1,1,2024,1
2149.83,2154.08,0.00,0.00,0.00,14681.86,0.00,0.00,0.00,7196.95,0.00,0.00,1173.90,0.00,0.00,23052.70,13015.19,2923.66,0.00,695.74,0.00,4157.61,0.00,106.42,0.00,20898.63,0.00,-4.81,-23.31,,,23.88,-4.24,2149.83,0.00,2149.83,,,,,,20195,WI,Sky Lease Cargo,WI,Sky Lease Cargo,16884,I,2,2,2024,1
2160.25,2415.98,0.00,0.00,0.00,0.00,0.00,13583.33,13583.33,0.00,32.15,0.00,32.15,0.00,0.00,13615.48,4092.03,1750.34,0.00,0.00,0.00,0.00,3779.77,1572.46,4.90,11199.50,-253.96,0.00,0.00,0.00,0.00,0.00,-253.96,2162.02,1.78,2160.25,0.00,0.00,0.00,,0.00,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",01159,D,1,1,2024,2
2384.80,2448.89,0.00,0.00,,0.00,0.00,,0.00,8034.52,,0.00,0.00,0.00,0.00,8034.52,5185.24,575.71,0.00,0.00,0.00,0.00,-323.42,148.10,0.00,5585.63,0.00,-73.13,0.00,0.00,0.00,9.04,-64.08,2384.80,0.00,2384.80,0.00,0.00,0.00,,0.00,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,16565,I,1,1,2024,2
2392.47,2774.44,0.00,0.00,0.00,0.00,0.00,12870.96,12870.96,0.00,4.79,0.00,4.79,0.00,0.00,12875.75,4814.28,1588.52,0.00,0.00,0.00,0.00,1448.34,2250.17,0.00,10101.31,-381.97,0.00,0.00,0.00,0.00,0.00,-381.97,2392.47,0.00,2392.47,0.00,0.00,0.00,,0.00,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",01159,D,1,1,2024,3
2464.94,705.31,0.00,,,33767.16,0.00,,0.00,15738.08,,0.00,1348.53,0.00,0.00,50853.77,22560.38,19177.39,0.00,214.27,39.08,2918.69,,3551.82,1686.82,50148.45,0.00,1759.63,0.00,0.00,0.00,0.00,1759.63,2464.94,0.00,2464.94,0.00,0.00,0.00,,0.00,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,80006,D,2,2,2024,1
2747.88,10828.11,0.00,0.00,,0.00,0.00,,0.00,116528.40,,0.00,63.29,0.00,0.00,116591.69,39056.81,52662.95,0.00,3193.74,0.00,6487.88,,4362.20,0.00,105763.58,0.00,-550.93,0.00,0.00,0.00,0.00,-550.93,10277.19,7529.30,2747.88,0.00,0.00,0.00,,0.00,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,2024,4
2756.90,2597.52,62827.61,0.00,,0.00,0.00,,0.00,0.00,,0.00,466.05,0.00,0.00,63293.66,21678.78,25668.89,2682.87,2661.99,44.63,7084.09,0.00,874.88,0.00,60696.14,0.00,-498.65,0.00,0.00,42.96,616.71,161.02,2758.54,1.64,2756.90,0.00,0.00,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,06944,D,2,2,2024,4
2876.42,3671.99,0.00,10056.81,,14087.54,0.00,,0.00,0.00,,0.00,7567.70,0.00,640.10,32352.15,10214.24,4200.71,0.00,4551.34,229.54,5470.34,,2471.85,1542.16,28680.17,0.00,-728.93,0.00,0.00,-66.64,0.00,-795.57,2876.42,0.00,2876.42,0.00,0.00,0.00,2876.42,0.00,21634,KH,Aloha Air Cargo,KH,Aloha Air Cargo,01146,D,2,2,2024,1
3004.81,2913.94,57063.78,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,57063.78,17760.04,24468.42,2142.53,2550.45,24.18,6365.55,0.00,838.68,0.00,54149.84,0.00,-478.95,0.00,0.00,38.68,536.56,96.30,3010.24,5.43,3004.81,0.00,0.00,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,06944,D,2,2,2024,1
3063.82,4673.81,570986.18,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,51983.35,8591.00,631560.53,265428.17,189872.89,60974.25,34812.12,570.02,39417.63,0.00,35811.63,0.00,626886.72,-3243.94,0.00,0.00,1937.78,0.00,1052.94,-253.22,4420.59,1356.77,3063.82,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,06700,D,3,3,2024,1
3362.29,2995.38,61101.73,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,61101.73,19067.84,27066.71,2021.32,2627.27,46.49,6433.59,0.00,843.14,0.00,58106.36,0.00,-481.46,0.00,0.00,27.52,542.90,88.96,3084.34,153.76,2930.58,0.00,431.71,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,06944,D,2,2,2024,2
3541.02,1240.06,0.00,0.00,,0.00,0.00,,128305.60,0.00,,0.00,0.00,0.00,0.00,128305.60,68823.10,14627.27,8288.70,12223.91,10.64,8958.27,0.00,14133.65,0.00,127065.54,0.00,-2647.06,0.00,0.00,0.00,763.63,-1883.43,-643.37,-4184.39,3541.02,0.00,0.00,0.00,,0.00,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,16736,I,2,2,2024,4
3554.00,4858.00,139955.00,0.00,,-79.00,7225.00,,517.00,25.00,,3364.00,0.00,0.00,0.00,151007.00,58277.00,13223.00,14154.00,24350.00,8787.00,19656.00,,7702.00,0.00,146149.00,-1787.00,446.00,0.00,0.00,-239.00,1546.00,-34.00,4824.00,1269.00,3554.00,0.00,0.00,0.00,,0.00,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,16031,L,3,3,2024,2
3668.85,3671.77,0.00,0.00,,0.00,0.00,,828.34,0.00,,0.00,0.00,0.00,26570.24,27398.59,0.00,0.00,0.00,0.00,0.00,0.00,1066.67,100.60,22559.55,23726.82,0.00,0.00,0.00,0.00,0.00,-2.92,-2.92,3668.85,0.00,3668.85,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",01194,D,2,2,2024,2
3824.39,3671.62,61645.84,0.00,,0.00,0.00,,0.00,0.00,,0.00,907.80,0.00,0.00,62553.64,20626.79,25456.77,2819.00,2632.25,48.49,6454.56,0.00,844.16,0.00,58882.02,0.00,-506.39,0.00,0.00,49.17,612.40,155.17,3826.79,2.40,3824.39,0.00,0.00,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,06944,D,2,2,2024,3
3883.46,4478.10,120466.80,0.00,,0.00,0.00,,0.00,0.00,,0.00,94350.15,0.00,0.00,214816.95,51293.13,35171.52,5923.16,87300.19,0.00,27495.95,0.00,3154.90,0.00,210338.85,0.00,0.00,0.00,-140.93,27.39,784.34,670.80,5148.89,1265.44,3883.46,0.00,0.00,0.00,,0.00,20427,PT,Piedmont Airlines,PT,Piedmont Airlines,06918,D,2,2,2024,4
3896.71,3883.98,0.00,0.00,,0.00,0.00,,924.41,0.00,,0.00,0.00,0.00,27631.70,28556.11,0.00,0.00,0.00,0.00,0.00,0.00,1025.04,104.88,23542.21,24672.13,0.00,0.00,0.00,0.00,0.00,12.73,12.73,3896.71,0.00,3896.71,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",01194,D,2,2,2024,1
3971.24,13295.38,0.00,0.00,,0.00,0.00,,34074.42,0.00,,0.00,21319.41,0.00,0.00,55393.83,23346.98,2101.83,955.05,13296.32,34.69,1721.04,0.00,642.54,0.00,42098.44,0.00,0.00,0.00,0.00,0.00,-9324.15,-9324.15,3971.24,0.00,3971.24,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",16076,I,1,1,2024,3
4295.86,6872.32,0.00,296.89,,36996.43,0.00,,0.00,15495.03,,0.00,500.64,0.00,0.00,53288.99,21396.53,8187.48,,6398.67,1216.19,5422.99,,1808.09,1986.72,46416.66,-2421.19,-193.80,0.00,0.00,0.00,141.47,-2473.52,4398.81,102.95,4295.86,0.00,0.00,0.00,,0.00,20151,M6,Amerijet International,M6,Amerijet International,06052,D,2,2,2024,4
4347.88,-917.91,0.00,0.00,,0.00,0.00,,10980.08,0.00,,0.00,8226.37,0.00,0.00,19206.45,7911.01,2278.86,555.87,5997.24,21.51,2821.31,0.00,538.57,0.00,20124.36,0.00,0.00,0.00,0.00,0.00,5265.80,5265.80,4347.88,0.00,4347.88,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",16076,I,1,1,2024,4
4646.28,4638.13,0.00,0.00,,0.00,0.00,,760.57,0.00,,0.00,0.00,0.00,28563.30,29323.88,0.00,0.00,0.00,0.00,0.00,0.00,1170.64,103.00,23412.10,24685.74,0.00,0.00,0.00,0.00,0.00,8.15,8.15,4646.28,0.00,4646.28,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",01194,D,2,2,2024,3
5076.57,5046.17,0.00,0.00,,0.00,0.00,,813.10,0.00,,0.00,0.00,0.00,29572.11,30385.21,0.00,0.00,0.00,0.00,0.00,0.00,1329.29,104.55,23905.20,25339.04,0.00,0.00,0.00,0.00,0.00,30.40,30.40,5076.57,0.00,5076.57,0.00,0.00,0.00,,0.00,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",01194,D,2,2,2024,4
5169.00,6768.00,96274.00,0.00,,-61.00,5373.00,,400.00,20.00,,1922.00,0.00,0.00,0.00,103928.00,39259.00,9048.00,9722.00,18331.00,5767.00,9742.00,,5292.00,0.00,97160.00,-1226.00,238.00,0.00,0.00,-179.00,1002.00,-165.00,6603.00,1434.00,5169.00,0.00,0.00,0.00,,0.00,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,16031,L,3,3,2024,3
5381.74,5369.74,75548.22,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,1569.81,77118.04,40416.64,20519.39,3596.76,3413.67,0.00,3698.81,0.00,103.03,0.00,71748.30,-398.05,0.00,0.00,-5.55,0.00,415.60,12.01,5381.74,0.00,5381.74,0.00,0.00,0.00,,0.00,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,07041,D,2,2,2024,4
